balance_0_percent,balance_1_percent,balance_2_percent,balance_3_percent,balance_4_percent,balance_5_percent,balance_6_percent,balance_7_percent,balance_8_percent,balance_9_percent,balance_10_percent,,0.155147717,0.131971319,0.112222717,0.091168053,0.068673332,0.047792722,0.028866678,0.015534307,0.001331446,0
0,0,0,0,0.0%,0,0,0,0,0,0,,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,ratio,maximum  value,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,0%,18.31%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,10%,15.51%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,20%,13.20%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,30%,11.22%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,40%,9.12%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,50%,6.87%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,60%,4.78%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,70%,2.89%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,80%,1.55%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,90%,0.13%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,100%,0.00%,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.100881808,0.091438554,0.081460117,0.070899675,6.0%,0.047816484,0.035168307,0.021684987,0.007280986,0,0,,,,,,,,,,,
0.093107546,0.082356138,0.070995409,0.058972052,4.6%,0.032691195,0.018290893,0.002939758,0,0,0,,,,,,,,,,,
0.14710349,0.130605731,0.113172987,0.094723455,7.5%,0.054396159,0.032299266,0.008743345,0,0,0,,,,,,,,,,,
0.098897243,0.084287198,0.068849151,0.05251066,3.5%,0.016797712,0,0,0,0,0,,,,,,,,,,,
0.073197268,0.058723252,0.043428943,0.027242574,1.0%,0,0,0,0,0,0,,,,,,,,,,,
0.085503306,0.068319069,0.050160941,0.030943718,1.1%,0,0,0,0,0,0,,,,,,,,,,,
0.11727452,0.095899004,0.073312063,0.04940771,2.4%,0.008128866,0.002519189,0,0,0,0,,,,,,,,,,,
0.093551802,0.071981783,0.049189316,0.025067449,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.122783582,0.097149318,0.070062271,0.041395337,1.2%,0.006221136,0.000898779,0,0,0,0,,,,,,,,,,,
0.058614207,0.035702119,0.011491524,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.03401834,0.01099892,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.046173582,0.020332906,0.0062693,0.003077579,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.037779347,0.010608487,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.048168792,0.018115299,0.004381497,0.001179937,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.018196822,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.039330329,0.033410712,0.027500015,0.021598217,1.6%,0.00982124,0.00394602,0,0,0,0,,,,,,,,,,,
0.015545356,0.010028975,0.004520905,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.036480978,0.027038642,0.017610534,0.009166519,0.5%,0.00134875,0,0,0,0,0,,,,,,,,,,,
0.172498302,0.147192114,0.121924056,0.097577399,7.7%,0.057612748,0.040385576,0.024744978,0.009409024,0,0,,,,,,,,,,,
0.183103405,0.155147717,0.127234152,0.100243361,7.8%,0.055040927,0.035255776,0.017110918,0,0,0,,,,,,,,,,,
0.085422624,0.065655383,0.045917926,0.02716247,1.3%,0,0,0,0,0,0,,,,,,,,,,,
0.036301588,0.019773631,0.003270577,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.043249952,0.024219299,0.005217321,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.028367285,0.008945773,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.015737633,0.013601573,0.011320902,0.008880421,0.6%,0.003447776,0.000412415,0,0,0,0,,,,,,,,,,,
0.005164456,0.002730898,0.000132589,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.008593869,0.004902906,0.000962067,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.004880228,0.003424537,0.00187299,0.0002158,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0.0%,0,0,0,0,0,0,,,,,,,,,,,
0.01979654,0.017332494,0.014715598,0.011931175,0.9%,0.005790997,0.002394783,0,0,0,0,,,,,,,,,,,
0.024811407,0.020821256,0.016583588,0.012074635,0.7%,0.002131545,0,0,0,0,0,,,,,,,,,,,
0.125601624,0.11322259,0.10007566,0.086087096,7.1%,0.055239679,0.041406209,0.028866678,0.015534307,0.001331446,0,,,,,,,,,,,
0.141849893,0.127237775,0.111719239,0.095207245,7.8%,0.058795187,0.041882236,0.026066425,0.009250621,0,0,,,,,,,,,,,
0.168008048,0.150531728,0.131971319,0.112222717,9.1%,0.068673332,0.047792722,0.02774368,0.006426991,0,0,,,,,,,,,,,
